Name,iupac,Csmiles,Ismiles
Vemurafenib,"N-[3-[5-(4-chlorophenyl)-1H-pyrrolo[2,3-b]pyridine-3-carbonyl]-2,4-difluorophenyl]propane-1-sulfonamide",CCCS(=O)(=O)NC1=C(C(=C(C=C1)F)C(=O)C2=CNC3=C2C=C(C=N3)C4=CC=C(C=C4)Cl)F,CCCS(=O)(=O)NC1=C(C(=C(C=C1)F)C(=O)C2=CNC3=C2C=C(C=N3)C4=CC=C(C=C4)Cl)F
PNU-159548,"[(2S,3S,4S,6R)-6-[[(1S,3S)-3-acetyl-3,5,12-trihydroxy-6,11-dioxo-2,4-dihydro-1H-tetracen-1-yl]oxy]-4-(aziridin-1-yl)-2-methyloxan-3-yl] methanesulfonate",CC1C(C(CC(O1)OC2CC(CC3=C2C(=C4C(=C3O)C(=O)C5=CC=CC=C5C4=O)O)(C(=O)C)O)N6CC6)OS(=O)(=O)C,C[C@H]1[C@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](CC3=C2C(=C4C(=C3O)C(=O)C5=CC=CC=C5C4=O)O)(C(=O)C)O)N6CC6)OS(=O)(=O)C
Vemurafenib  ,"N-[3-[5-(4-chlorophenyl)-1H-pyrrolo[2,3-b]pyridine-3-carbonyl]-2,4-difluorophenyl]propane-1-sulfonamide",CCCS(=O)(=O)NC1=C(C(=C(C=C1)F)C(=O)C2=CNC3=C2C=C(C=N3)C4=CC=C(C=C4)Cl)F,CCCS(=O)(=O)NC1=C(C(=C(C=C1)F)C(=O)C2=CNC3=C2C=C(C=N3)C4=CC=C(C=C4)Cl)F
PI-88,"[(2R,3R,4S,5S,6R)-6-[(2R,3S,4S,5R,6R)-2-[(2R,3S,4S,5R,6R)-2-[(2R,3R,4S,5S,6R)-3,5-disulfonatooxy-2-(sulfonatooxymethyl)-6-[(2R,3S,4R,5R,6R)-2,4,5-trisulfonatooxy-6-(sulfonatooxymethyl)oxan-3-yl]oxyoxan-4-yl]oxy-3,5-disulfonatooxy-6-(sulfonatooxymethyl)oxan-4-yl]oxy-3,5-disulfonatooxy-6-(sulfonatooxymethyl)oxan-4-yl]oxy-3,4,5-trisulfonatooxyoxan-2-yl]methyl phosphate",C(C1C(C(C(C(O1)OC2C(C(OC(C2OS(=O)(=O)[O-])OC3C(C(OC(C3OS(=O)(=O)[O-])OC4C(C(OC(C4OS(=O)(=O)[O-])OC5C(C(C(OC5OS(=O)(=O)[O-])COS(=O)(=O)[O-])OS(=O)(=O)[O-])OS(=O)(=O)[O-])COS(=O)(=O)[O-])OS(=O)(=O)[O-])COS(=O)(=O)[O-])OS(=O)(=O)[O-])COS(=O)(=O)[O-])OS(=O)(=O)[O-])OS(=O)(=O)[O-])OS(=O)(=O)[O-])OS(=O)(=O)[O-])OP(=O)([O-])[O-],C([C@@H]1[C@H]([C@@H]([C@@H]([C@H](O1)O[C@H]2[C@@H]([C@H](O[C@@H]([C@H]2OS(=O)(=O)[O-])O[C@H]3[C@@H]([C@H](O[C@@H]([C@H]3OS(=O)(=O)[O-])O[C@H]4[C@@H]([C@H](O[C@@H]([C@H]4OS(=O)(=O)[O-])O[C@H]5[C@H]([C@@H]([C@H](O[C@@H]5OS(=O)(=O)[O-])COS(=O)(=O)[O-])OS(=O)(=O)[O-])OS(=O)(=O)[O-])COS(=O)(=O)[O-])OS(=O)(=O)[O-])COS(=O)(=O)[O-])OS(=O)(=O)[O-])COS(=O)(=O)[O-])OS(=O)(=O)[O-])OS(=O)(=O)[O-])OS(=O)(=O)[O-])OS(=O)(=O)[O-])OP(=O)([O-])[O-]
Melphalan,(2S)-2-amino-3-[4-[bis(2-chloroethyl)amino]phenyl]propanoic acid,C1=CC(=CC=C1CC(C(=O)O)N)N(CCCl)CCCl,C1=CC(=CC=C1C[C@@H](C(=O)O)N)N(CCCl)CCCl
Diphencyprone,"2,3-diphenylcycloprop-2-en-1-one",C1=CC=C(C=C1)C2=C(C2=O)C3=CC=CC=C3,C1=CC=C(C=C1)C2=C(C2=O)C3=CC=CC=C3
Levothyroxine,"(2S)-2-amino-3-[4-(4-hydroxy-3,5-diiodophenoxy)-3,5-diiodophenyl]propanoic acid",C1=C(C=C(C(=C1I)OC2=CC(=C(C(=C2)I)O)I)I)CC(C(=O)O)N,C1=C(C=C(C(=C1I)OC2=CC(=C(C(=C2)I)O)I)I)C[C@@H](C(=O)O)N
Doxorubicin,"(7S,9S)-7-[(2R,4S,5S,6S)-4-amino-5-hydroxy-6-methyloxan-2-yl]oxy-6,9,11-trihydroxy-9-(2-hydroxyacetyl)-4-methoxy-8,10-dihydro-7H-tetracene-5,12-dione",CC1C(C(CC(O1)OC2CC(CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)CO)O)N)O,C[C@H]1[C@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)CO)O)N)O
Ifosfamide,"N,3-bis(2-chloroethyl)-2-oxo-1,3,2lambda5-oxazaphosphinan-2-amine",C1CN(P(=O)(OC1)NCCCl)CCCl,C1CN(P(=O)(OC1)NCCCl)CCCl
Pemetrexed,"(2S)-2-[[4-[2-(2-amino-4-oxo-3,7-dihydropyrrolo[2,3-d]pyrimidin-5-yl)ethyl]benzoyl]amino]pentanedioic acid",C1=CC(=CC=C1CCC2=CNC3=C2C(=O)NC(=N3)N)C(=O)NC(CCC(=O)O)C(=O)O,C1=CC(=CC=C1CCC2=CNC3=C2C(=O)NC(=N3)N)C(=O)N[C@@H](CCC(=O)O)C(=O)O
