class_label
myoblast fusion (GO:0007520)
"Valine, leucine and isoleucine degradation"
cortical cytoskeleton organization (GO:0030865)
regulation of primary metabolic process (GO:0080090)
Huntington disease
mononuclear cell differentiation (GO:1903131)
organelle assembly (GO:0070925)
endoplasmic reticulum to Golgi vesicle-mediated transport (GO:0006888)
"phagocytosis, engulfment (GO:0006911)"
transforming growth factor beta receptor signaling pathway (GO:0007179)
Folate biosynthesis
negative regulation of cell migration (GO:0030336)
Various types of N-glycan biosynthesis
cyclic-nucleotide-mediated signaling (GO:0019935)
ectoderm development (GO:0007398)
transport across blood-brain barrier (GO:0150104)
regulation of cell growth (GO:0001558)
homotypic cell-cell adhesion (GO:0034109)
Bile secretion
p53 signaling pathway
regulation of protein phosphorylation (GO:0001932)
small GTPase mediated signal transduction (GO:0007264)
positive regulation of transferase activity (GO:0051347)
positive regulation of cell motility (GO:2000147)
protein stabilization (GO:0050821)
positive regulation of cell projection organization (GO:0031346)
Alcoholism
Type I diabetes mellitus
negative regulation of endopeptidase activity (GO:0010951)
prostaglandin metabolic process (GO:0006693)
negative regulation of gene expression (GO:0010629)
protein glycosylation (GO:0006486)
negative regulation of smooth muscle cell proliferation (GO:0048662)
regulation of granulocyte chemotaxis (GO:0071622)
endothelial cell migration (GO:0043542)
positive regulation of phosphorylation (GO:0042327)
Pentose and glucuronate interconversions
estrogen metabolic process (GO:0008210)
visual perception (GO:0007601)
renal filtration (GO:0097205)
regulation of viral entry into host cell (GO:0046596)
regulation of viral genome replication (GO:0045069)
Cysteine and methionine metabolism
positive regulation of response to stimulus (GO:0048584)
negative regulation of cell motility (GO:2000146)
leukocyte tethering or rolling (GO:0050901)
unsaturated fatty acid metabolic process (GO:0033559)
regulation of cellular response to stress (GO:0080135)
positive regulation of ion transport (GO:0043270)
negative regulation of epidermal growth factor receptor signaling pathway (GO:0042059)
regulation of cytosolic calcium ion concentration (GO:0051480)
Notch signaling pathway (GO:0007219)
anion homeostasis (GO:0055081)
cellular amino acid catabolic process (GO:0009063)
sulfur compound biosynthetic process (GO:0044272)
positive regulation of cellular protein metabolic process (GO:0032270)
glucose metabolic process (GO:0006006)
"Alanine, aspartate and glutamate metabolism"
Complement and coagulation cascades
regulation of lipid storage (GO:0010883)
fatty acid derivative biosynthetic process (GO:1901570)
protein-containing complex assembly (GO:0065003)
phosphorylation (GO:0016310)
purine ribonucleoside monophosphate catabolic process (GO:0009169)
retina homeostasis (GO:0001895)
response to lipid (GO:0033993)
Fatty acid degradation
axonogenesis (GO:0007409)
Kaposi sarcoma-associated herpesvirus infection
cholesterol homeostasis (GO:0042632)
regulation of macrophage chemotaxis (GO:0010758)
mitotic cell cycle phase transition (GO:0044772)
protein homooligomerization (GO:0051260)
ubiquitin-dependent protein catabolic process (GO:0006511)
icosanoid metabolic process (GO:0006690)
regulation of cellular response to osmotic stress (GO:0106049)
Fluid shear stress and atherosclerosis
lymphocyte differentiation (GO:0030098)
myeloid leukocyte differentiation (GO:0002573)
substantia nigra development (GO:0021762)
Human immunodeficiency virus 1 infection
positive regulation of transcription by RNA polymerase II (GO:0045944)
glutamine family amino acid metabolic process (GO:0009064)
receptor-mediated endocytosis (GO:0006898)
synapse organization (GO:0050808)
regulation of cell death (GO:0010941)
negative regulation of intracellular signal transduction (GO:1902532)
positive regulation of cell migration (GO:0030335)
cellular macromolecule biosynthetic process (GO:0034645)
peptidyl-proline modification (GO:0018208)
positive regulation of MAPK cascade (GO:0043410)
NOD-like receptor signaling pathway
transcription by RNA polymerase II (GO:0006366)
Endocytosis
fatty acid beta-oxidation (GO:0006635)
cellular response to lipid (GO:0071396)
Cushing syndrome
regulation of cytoskeleton organization (GO:0051493)
"positive regulation of transcription, DNA-templated (GO:0045893)"
regulation of canonical Wnt signaling pathway (GO:0060828)
Shigellosis
heme catabolic process (GO:0042167)
cellular response to oxygen-containing compound (GO:1901701)
regulation of immune response (GO:0050776)
apoptotic process (GO:0006915)
cellular amide metabolic process (GO:0043603)
positive regulation of cellular metabolic process (GO:0031325)
regulation of dendritic cell differentiation (GO:2001198)
cellular response to growth factor stimulus (GO:0071363)
positive regulation of cytokine production (GO:0001819)
protein ubiquitination (GO:0016567)
inorganic cation transmembrane transport (GO:0098662)
regulation of autophagy (GO:0010506)
organic anion transport (GO:0015711)
regulation of heart contraction (GO:0008016)
negative regulation of cellular macromolecule biosynthetic process (GO:2000113)
Malaria
myelination (GO:0042552)
chemical synaptic transmission (GO:0007268)
Human T-cell leukemia virus 1 infection
cell-matrix adhesion (GO:0007160)
protein O-linked glycosylation (GO:0006493)
cellular response to metal ion (GO:0071248)
generation of neurons (GO:0048699)
Axon guidance
Lysosome
regulation of signal transduction (GO:0009966)
regulation of protein secretion (GO:0050708)
Sulfur metabolism
positive regulation of cellular biosynthetic process (GO:0031328)
negative regulation of growth (GO:0045926)
Amyotrophic lateral sclerosis
Transcriptional misregulation in cancer
negative regulation of multicellular organismal process (GO:0051241)
cell-cell adhesion via plasma-membrane adhesion molecules (GO:0098742)
cellular response to oxidative stress (GO:0034599)
central nervous system development (GO:0007417)
Regulation of actin cytoskeleton
negative regulation of apoptotic process (GO:0043066)
regulation of inflammatory response (GO:0050727)
skeletal system development (GO:0001501)
muscle contraction (GO:0006936)
Chemical carcinogenesis
monocarboxylic acid metabolic process (GO:0032787)
Protein digestion and absorption
HIF-1 signaling pathway
nitrogen compound transport (GO:0071705)
cellular response to hypoxia (GO:0071456)
Tight junction
cellular response to cytokine stimulus (GO:0071345)
negative regulation of cell population proliferation (GO:0008285)
Glutathione metabolism
actin filament organization (GO:0007015)
negative regulation of protein phosphorylation (GO:0001933)
plasma membrane bounded cell projection assembly (GO:0120031)
positive regulation of gene expression (GO:0010628)
Phagosome
organonitrogen compound biosynthetic process (GO:1901566)
Drug metabolism
Systemic lupus erythematosus
regulation of GTPase activity (GO:0043087)
positive regulation of cellular process (GO:0048522)
Focal adhesion
Ras protein signal transduction (GO:0007265)
positive regulation of cell differentiation (GO:0045597)
cellular transition metal ion homeostasis (GO:0046916)
heart development (GO:0007507)
phosphate-containing compound metabolic process (GO:0006796)
retinoid metabolic process (GO:0001523)
Proteoglycans in cancer
negative regulation of signal transduction (GO:0009968)
actomyosin structure organization (GO:0031032)
Arginine and proline metabolism
positive regulation of protein phosphorylation (GO:0001934)
organelle organization (GO:0006996)
protein transport (GO:0015031)
Human papillomavirus infection
epithelium development (GO:0060429)
regulation of ERK1 and ERK2 cascade (GO:0070372)
regulation of angiogenesis (GO:0045765)
innate immune response (GO:0045087)
axon guidance (GO:0007411)
cellular protein metabolic process (GO:0044267)
regulation of intracellular signal transduction (GO:1902531)
protein localization to membrane (GO:0072657)
positive regulation of multicellular organismal process (GO:0051240)
Cell adhesion molecules
PPAR signaling pathway
regulated exocytosis (GO:0045055)
Pathways of neurodegeneration
Staphylococcus aureus infection
proteolysis (GO:0006508)
positive regulation of intracellular signal transduction (GO:1902533)
Pathogenic Escherichia coli infection
cellular component assembly (GO:0022607)
nervous system development (GO:0007399)
transmembrane receptor protein tyrosine kinase signaling pathway (GO:0007169)
negative regulation of cellular process (GO:0048523)
supramolecular fiber organization (GO:0097435)
regulation of gene expression (GO:0010468)
regulation of cell migration (GO:0030334)
"regulation of transcription, DNA-templated (GO:0006355)"
extracellular matrix organization (GO:0030198)
regulation of apoptotic process (GO:0042981)
cytokine-mediated signaling pathway (GO:0019221)
cellular protein modification process (GO:0006464)
neutrophil degranulation (GO:0043312)
regulation of cell population proliferation (GO:0042127)
Pathways in cancer
" "
regulation of transcription by RNA polymerase II (GO:0006357)
